"Data Source","World Development Indicators",

"Last Updated Date","2020-05-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Austria","AUT","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37700.8773623512","38610.971312619","38987.8500428783","38871.3722420884","39652.2054553728","40647.8377672031","41546.7382509716","42368.5227241593","43837.7910408527","45308.5685088548","46725.565286058","47136.8713255273","47680.2068846392","47895.2191217637","48900.8803870311","49658.7840399317","51120.4495577785","52854.3176042359","53458.6047800438","51311.5254303054","52128.7010485929","53471.7700900142","53590.7183510812","53289.3783085002","53224.167740644","53164.8014030839","53688.2823908977","54637.0012845153","55687.1892771302","",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7792.07871037547","7618.34781257511","5807.93651454","4398.96602647555","3484.94284686981","3038.52281110392","3047.09665076034","3192.87835398979","3478.98861691254","3703.78633232671","4081.2402946859","4450.66691383886","4834.55256316303","5287.86249733632","5726.83641260061","7253.6164252747","9647.097047757","11967.0964429981","12959.5745173043","13882.5863539432","14375.3426006695","13966.0502967136","14085.3044521528","14716.674009415","14940.6822722985","14918.8936099283","14300.9873802348","14121.4069355591","14197.3543897433","",
"Burundi","BDI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1184.84244047638","1215.88653124915","1202.10713942057","1105.228876226","1044.71553683812","947.822367711361","861.482736903432","839.196845267928","870.044081803464","850.048016226981","828.000459963366","826.029067773258","839.778526667927","804.885029198471","817.460585353135","798.704284723934","815.053735830679","815.90943944186","827.792518241446","831.564131168609","846.169526927269","852.502621649322","862.71608619147","877.274160261081","886.23577677556","825.205985575849","794.604574423363","773.571858394255","761.524193384446","",
"Belgium","BEL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35535.2327719859","36052.4025031848","36456.0328546688","35964.6057172614","37010.9307206776","37814.2715519624","38239.1892063038","39593.9181490798","40284.5771567096","41616.2633555259","43058.4542809568","43382.4606199203","43925.604324324","44196.1203377616","45576.7706822729","46379.1296392169","47250.2164219446","48629.1550115582","48462.1309756679","47102.3302819383","48010.8197188487","48193.2696341404","48249.3738880047","48243.0230823161","48787.48701681","49491.6238511029","49985.7750357972","50771.628259068","51250.3261535632","",
"Benin","BEN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2175.20551783177","2191.83932970741","2179.50804702651","2227.35239338017","2195.82013074675","2253.11723647127","2277.76667477356","2336.5477319825","2358.28377171804","2411.99301127969","2478.21643303685","2532.63226240282","2570.78941796305","2579.69815032321","2614.21211817471","2581.64160468399","2606.81617978405","2685.12930866085","2738.1924956004","2724.08628931232","2704.70401397294","2707.86941421509","2759.84995776779","2876.90563418335","2975.85391436098","2945.97300620254","2961.44177792771","3044.51388698516","3160.7770925266","",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","891.518607666189","946.694666306037","923.685033610942","930.110075091494","916.987719981724","943.149257096932","1018.48186843062","1053.09111475368","1098.81327816755","1147.32936179048","1135.48155046455","1176.45674855313","1192.86321394379","1249.19865479653","1267.48868947171","1337.11772060088","1378.89170625688","1413.64410020878","1471.5679676571","1469.98753329016","1502.90694856805","1555.0017834154","1606.46052159363","1649.59127823932","1670.74058320455","1685.52754705577","1733.78584388169","1791.33910642862","1859.6412905768","",
"Bangladesh","BGD","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1517.72880543047","1534.52466457797","1582.31315734828","1621.32636242845","1648.7335162529","1696.56733221579","1735.92138499969","1775.963658887","1829.50327146684","1876.59850983888","1937.72870027555","1998.06579505329","2037.23552671602","2097.16800659398","2171.68794056589","2279.53055225358","2399.08124673205","2537.11048351648","2659.04833522007","2762.17956237892","2883.46632465892","3034.93756814452","3195.73599484209","3348.95241384682","3511.58117078371","3700.11035857758","3920.30076529345","4161.08971339052","4441.42305649638","",
"Bulgaria","BGR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10583.8675532626","9786.47168043251","9172.73622422576","9109.33303016892","9306.49167890282","9615.40661445947","9733.23249649045","9686.04433675727","10369.9780327934","9551.4565818696","10056.2019060593","10645.1532612568","11524.6814654455","12215.2960315217","13099.8995179599","14139.1370009924","15226.3186865473","16465.2256602832","17579.7062473734","17058.8259214738","17398.8560080617","17846.0959383883","17955.3231640631","18145.2742436362","18584.0274865246","19352.2010315814","20255.6226320691","21181.7717825613","21992.6481077161","",
"Bahrain","BHR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38626.3890743168","41798.5816748344","43458.8181229635","47851.4001184071","46570.3139988635","47188.6578297346","47857.2627192895","47988.6351327371","48749.3383944067","49021.0682853776","49439.0695286683","48278.2027347139","47342.819222834","47508.5533398135","47693.2016252092","47524.354992774","46941.6291275686","47031.7953622529","46438.4709629814","44788.0564891247","44629.6056345277","44186.9114522831","45065.9347817732","46962.0811059171","48233.1364983374","48320.2067398917","48107.0878609552","47654.6099200139","46172.2536598526","",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38659.3572154393","36363.6106355252","34312.4242310324","33778.1036251156","34238.3709819679","35184.2706839898","36180.3670366617","36492.1512619025","37787.370909225","40009.8771020974","41112.2890860872","41555.0252012522","41979.4751209315","40724.6262788156","40341.4356898202","40945.2781916267","41192.9304845183","41001.5541603807","39315.4931597998","37035.6955874165","37040.0391095256","36786.6787683093","37504.3042793134","36041.8616118047","35967.8921455688","35837.3462624269","35642.4724116739","35308.4133992786","35500.5441974506","",
